Wdiff(um),Stddev(mV),Mean(mV),Average energy(J),Input Capacitance,
0.135,0.3542,-0.02166,1.43E-14,2.05E-16,1.25458E-07
0.27,0.2659,-0.01563,1.45E-14,3.28E-16,7.07028E-08
0.405,0.2251,-0.007493,1.47E-14,4.51E-16,5.067E-08
0.54,0.2004,-0.01655,1.49E-14,5.75E-16,4.01602E-08
0.675,0.1818,-0.001252,1.52E-14,6.97E-16,3.30512E-08
0.81,0.1692,-0.002976,1.54E-14,8.21E-16,2.86286E-08
0.945,0.1598,-0.003003,1.56E-14,9.51E-16,2.5536E-08
1.08,0.1527,-0.001684,1.58E-14,1.08E-15,2.33173E-08
1.215,0.1463,-5.96E-05,1.61E-14,1.20E-15,2.14037E-08
1.35,0.1402,-0.002,1.63E-14,1.34E-15,1.9656E-08
1.485,0.1366,-0.00145,1.65E-14,1.48E-15,1.86596E-08
1.62,0.1337,-0.001086,1.68E-14,1.61E-15,1.78757E-08
1.755,0.1317,0.0009347,1.70E-14,1.75E-15,1.73449E-08
1.89,0.1259,-0.01255,1.72E-14,1.89E-15,1.58508E-08
2.16,0.1219,-0.01389,1.77E-14,2.16E-15,1.48596E-08
2.43,0.1186,-0.01421,1.82E-14,2.44E-15,1.4066E-08
2.7,0.1178,-0.01256,1.86E-14,2.74E-15,1.38768E-08
2.97,0.1158,-0.01412,1.91E-14,3.04E-15,1.34096E-08
3.24,0.1137,-0.01331,1.96E-14,3.31E-15,1.29277E-08
3.51,0.1114,-0.01355,2.01E-14,3.65E-15,1.241E-08
3.78,0.1103,-0.01315,2.05E-14,3.96E-15,1.21661E-08
4.05,0.1079,-0.01276,2.10E-14,4.33E-15,1.16424E-08
4.32,0.1068,-0.01258,2.15E-14,4.66E-15,1.14062E-08
4.59,0.1057,-0.01305,2.20E-14,5.05E-15,1.11725E-08
4.86,0.1052,-0.01347,2.25E-14,5.40E-15,1.1067E-08
5.13,0.1039,-0.01318,2.30E-14,5.78E-15,1.07952E-08
5.4,0.1031,-0.01277,2.35E-14,6.25E-15,1.06296E-08
