Wdiff(um),Stddev(mV),Varaiance,Mean(mV),Average energy(J),Input Capacitance
0.135,0.3542,1.25E-07,-0.02166,1.43E-14,2.05E-16
0.27,0.2659,7.07E-08,-0.01563,1.45E-14,3.28E-16
0.405,0.2251,5.07E-08,-0.007493,1.47E-14,4.51E-16
0.54,0.2004,4.02E-08,-0.01655,1.49E-14,5.75E-16
0.675,0.1818,3.31E-08,-0.001252,1.52E-14,6.97E-16
0.81,0.1692,2.86E-08,-0.002976,1.54E-14,8.21E-16
0.945,0.1598,2.55E-08,-0.003003,1.56E-14,9.51E-16
1.08,0.1527,2.33E-08,-0.001684,1.58E-14,1.08E-15
1.215,0.1463,2.14E-08,-5.96E-05,1.61E-14,1.20E-15
1.35,0.1402,1.97E-08,-0.002,1.63E-14,1.34E-15
1.485,0.1366,1.87E-08,-0.00145,1.65E-14,1.48E-15
1.62,0.1337,1.79E-08,-0.001086,1.68E-14,1.61E-15
1.755,0.1317,1.73E-08,0.0009347,1.70E-14,1.75E-15
1.89,0.1259,1.59E-08,-0.01255,1.72E-14,1.89E-15
2.16,0.1219,1.49E-08,-0.01389,1.77E-14,2.16E-15
2.43,0.1186,1.41E-08,-0.01421,1.82E-14,2.44E-15
2.7,0.1178,1.39E-08,-0.01256,1.86E-14,2.74E-15
2.97,0.1158,1.34E-08,-0.01412,1.91E-14,3.04E-15
3.24,0.1137,1.29E-08,-0.01331,1.96E-14,3.31E-15
3.51,0.1114,1.24E-08,-0.01355,2.01E-14,3.65E-15
3.78,0.1103,1.22E-08,-0.01315,2.05E-14,3.96E-15
4.05,0.1079,1.16E-08,-0.01276,2.10E-14,4.33E-15
4.32,0.1068,1.14E-08,-0.01258,2.15E-14,4.66E-15
4.59,0.1057,1.12E-08,-0.01305,2.20E-14,5.05E-15
4.86,0.1052,1.11E-08,-0.01347,2.25E-14,5.40E-15
5.13,0.1039,1.08E-08,-0.01318,2.30E-14,5.78E-15
5.4,0.1031,1.06E-08,-0.01277,2.35E-14,6.25E-15
