freq (Hz),Vinp (V)
1.000,147.2E9
1.023,147.2E9
1.047,147.2E9
1.072,147.2E9
1.096,147.2E9
1.122,147.2E9
1.148,147.2E9
1.175,147.2E9
1.202,147.2E9
1.230,147.2E9
1.259,147.2E9
1.288,147.2E9
1.318,147.2E9
1.349,147.2E9
1.380,147.2E9
1.413,147.2E9
1.445,147.2E9
1.479,147.2E9
1.514,147.2E9
1.549,147.2E9
1.585,147.2E9
1.622,147.2E9
1.660,147.2E9
1.698,147.2E9
1.738,147.2E9
1.778,147.2E9
1.820,147.2E9
1.862,147.2E9
1.905,147.2E9
1.950,147.2E9
1.995,147.2E9
2.042,147.2E9
2.089,147.2E9
2.138,147.2E9
2.188,147.2E9
2.239,147.2E9
2.291,147.2E9
2.344,147.2E9
2.399,147.2E9
2.455,147.2E9
2.512,147.2E9
2.570,147.2E9
2.630,147.2E9
2.692,147.2E9
2.754,147.2E9
2.818,147.2E9
2.884,147.2E9
2.951,147.2E9
3.020,147.2E9
3.090,147.2E9
3.162,147.2E9
3.236,147.2E9
3.311,147.2E9
3.388,147.2E9
3.467,147.2E9
3.548,147.2E9
3.631,147.2E9
3.715,147.2E9
3.802,147.2E9
3.890,147.2E9
3.981,147.2E9
4.074,147.2E9
4.169,147.2E9
4.266,147.2E9
4.365,147.2E9
4.467,147.2E9
4.571,147.2E9
4.677,147.2E9
4.786,147.2E9
4.898,147.2E9
5.012,147.2E9
5.129,147.2E9
5.248,147.2E9
5.370,147.2E9
5.495,147.2E9
5.623,147.2E9
5.754,147.2E9
5.888,147.2E9
6.026,147.2E9
6.166,147.2E9
6.310,147.2E9
6.457,147.2E9
6.607,147.2E9
6.761,147.2E9
6.918,147.2E9
7.079,147.2E9
7.244,147.2E9
7.413,147.2E9
7.586,147.2E9
7.762,147.2E9
7.943,147.2E9
8.128,147.2E9
8.318,147.2E9
8.511,147.2E9
8.710,147.2E9
8.913,147.2E9
9.120,147.2E9
9.333,147.2E9
9.550,147.2E9
9.772,147.2E9
10.00,147.2E9
10.23,147.2E9
10.47,147.2E9
10.72,147.2E9
10.96,147.2E9
11.22,147.2E9
11.48,147.2E9
11.75,147.2E9
12.02,147.2E9
12.30,147.2E9
12.59,147.2E9
12.88,147.2E9
13.18,147.2E9
13.49,147.2E9
13.80,147.2E9
14.13,147.2E9
14.45,147.2E9
14.79,147.2E9
15.14,147.2E9
15.49,147.2E9
15.85,147.2E9
16.22,147.2E9
16.60,147.2E9
16.98,147.2E9
17.38,147.2E9
17.78,147.2E9
18.20,147.2E9
18.62,147.2E9
19.05,147.2E9
19.50,147.2E9
19.95,147.2E9
20.42,147.2E9
20.89,147.2E9
21.38,147.2E9
21.88,147.2E9
22.39,147.2E9
22.91,147.2E9
23.44,147.2E9
23.99,147.2E9
24.55,147.2E9
25.12,147.2E9
25.70,147.2E9
26.30,147.2E9
26.92,147.2E9
27.54,147.2E9
28.18,147.2E9
28.84,147.2E9
29.51,147.2E9
30.20,147.2E9
30.90,147.2E9
31.62,147.2E9
32.36,147.2E9
33.11,147.2E9
33.88,147.2E9
34.67,147.2E9
35.48,147.2E9
36.31,147.2E9
37.15,147.2E9
38.02,147.2E9
38.90,147.2E9
39.81,147.2E9
40.74,147.2E9
41.69,147.2E9
42.66,147.2E9
43.65,147.2E9
44.67,147.2E9
45.71,147.2E9
46.77,147.2E9
47.86,147.2E9
48.98,147.2E9
50.12,147.2E9
51.29,147.2E9
52.48,147.2E9
53.70,147.2E9
54.95,147.2E9
56.23,147.2E9
57.54,147.2E9
58.88,147.2E9
60.26,147.2E9
61.66,147.2E9
63.10,147.2E9
64.57,147.2E9
66.07,147.2E9
67.61,147.2E9
69.18,147.2E9
70.79,147.2E9
72.44,147.2E9
74.13,147.2E9
75.86,147.2E9
77.62,147.2E9
79.43,147.2E9
81.28,147.2E9
83.18,147.2E9
85.11,147.2E9
87.10,147.2E9
89.13,147.2E9
91.20,147.2E9
93.33,147.2E9
95.50,147.2E9
97.72,147.2E9
100.0,147.2E9
102.3,147.2E9
104.7,147.2E9
107.2,147.2E9
109.6,147.2E9
112.2,147.2E9
114.8,147.2E9
117.5,147.2E9
120.2,147.2E9
123.0,147.2E9
125.9,147.2E9
128.8,147.2E9
131.8,147.2E9
134.9,147.2E9
138.0,147.2E9
141.3,147.2E9
144.5,147.2E9
147.9,147.2E9
151.4,147.2E9
154.9,147.2E9
158.5,147.2E9
162.2,147.2E9
166.0,147.2E9
169.8,147.2E9
173.8,147.2E9
177.8,147.2E9
182.0,147.2E9
186.2,147.2E9
190.5,147.2E9
195.0,147.2E9
199.5,147.2E9
204.2,147.2E9
208.9,147.2E9
213.8,147.2E9
218.8,147.2E9
223.9,147.2E9
229.1,147.2E9
234.4,147.2E9
239.9,147.2E9
245.5,147.2E9
251.2,147.2E9
257.0,147.2E9
263.0,147.2E9
269.2,147.2E9
275.4,147.2E9
281.8,147.1E9
288.4,147.1E9
295.1,147.1E9
302.0,147.1E9
309.0,147.1E9
316.2,147.1E9
323.6,147.1E9
331.1,147.1E9
338.8,147.1E9
346.7,147.1E9
354.8,147.1E9
363.1,147.1E9
371.5,147.1E9
380.2,147.1E9
389.0,147.1E9
398.1,147.0E9
407.4,147.0E9
416.9,147.0E9
426.6,147.0E9
436.5,147.0E9
446.7,147.0E9
457.1,147.0E9
467.7,147.0E9
478.6,147.0E9
489.8,146.9E9
501.2,146.9E9
512.9,146.9E9
524.8,146.9E9
537.0,146.9E9
549.5,146.9E9
562.3,146.9E9
575.4,146.8E9
588.8,146.8E9
602.6,146.8E9
616.6,146.8E9
631.0,146.8E9
645.7,146.7E9
660.7,146.7E9
676.1,146.7E9
691.8,146.7E9
707.9,146.6E9
724.4,146.6E9
741.3,146.6E9
758.6,146.5E9
776.2,146.5E9
794.3,146.5E9
812.8,146.4E9
831.8,146.4E9
851.1,146.4E9
871.0,146.3E9
891.3,146.3E9
912.0,146.2E9
933.3,146.2E9
955.0,146.1E9
977.2,146.1E9
1.000E3,146.0E9
1.023E3,146.0E9
1.047E3,145.9E9
1.072E3,145.8E9
1.096E3,145.8E9
1.122E3,145.7E9
1.148E3,145.6E9
1.175E3,145.6E9
1.202E3,145.5E9
1.230E3,145.4E9
1.259E3,145.3E9
1.288E3,145.2E9
1.318E3,145.1E9
1.349E3,145.0E9
1.380E3,144.9E9
1.413E3,144.8E9
1.445E3,144.7E9
1.479E3,144.6E9
1.514E3,144.5E9
1.549E3,144.3E9
1.585E3,144.2E9
1.622E3,144.1E9
1.660E3,143.9E9
1.698E3,143.8E9
1.738E3,143.6E9
1.778E3,143.5E9
1.820E3,143.3E9
1.862E3,143.1E9
1.905E3,142.9E9
1.950E3,142.7E9
1.995E3,142.5E9
2.042E3,142.3E9
2.089E3,142.1E9
2.138E3,141.9E9
2.188E3,141.6E9
2.239E3,141.4E9
2.291E3,141.1E9
2.344E3,140.8E9
2.399E3,140.6E9
2.455E3,140.3E9
2.512E3,140.0E9
2.570E3,139.6E9
2.630E3,139.3E9
2.692E3,139.0E9
2.754E3,138.6E9
2.818E3,138.2E9
2.884E3,137.9E9
2.951E3,137.5E9
3.020E3,137.0E9
3.090E3,136.6E9
3.162E3,136.2E9
3.236E3,135.7E9
3.311E3,135.2E9
3.388E3,134.7E9
3.467E3,134.2E9
3.548E3,133.7E9
3.631E3,133.1E9
3.715E3,132.6E9
3.802E3,132.0E9
3.890E3,131.4E9
3.981E3,130.7E9
4.074E3,130.1E9
4.169E3,129.4E9
4.266E3,128.7E9
4.365E3,128.0E9
4.467E3,127.3E9
4.571E3,126.5E9
4.677E3,125.8E9
4.786E3,125.0E9
4.898E3,124.2E9
5.012E3,123.3E9
5.129E3,122.5E9
5.248E3,121.6E9
5.370E3,120.7E9
5.495E3,119.8E9
5.623E3,118.8E9
5.754E3,117.9E9
5.888E3,116.9E9
6.026E3,115.9E9
6.166E3,114.8E9
6.310E3,113.8E9
6.457E3,112.7E9
6.607E3,111.6E9
6.761E3,110.5E9
6.918E3,109.4E9
7.079E3,108.3E9
7.244E3,107.1E9
7.413E3,106.0E9
7.586E3,104.8E9
7.762E3,103.6E9
7.943E3,102.4E9
8.128E3,101.1E9
8.318E3,99.91E9
8.511E3,98.66E9
8.710E3,97.40E9
8.913E3,96.14E9
9.120E3,94.86E9
9.333E3,93.58E9
9.550E3,92.30E9
9.772E3,91.00E9
10.00E3,89.71E9
10.23E3,88.41E9
10.47E3,87.10E9
10.72E3,85.80E9
10.96E3,84.49E9
11.22E3,83.19E9
11.48E3,81.89E9
11.75E3,80.58E9
12.02E3,79.29E9
12.30E3,77.99E9
12.59E3,76.70E9
12.88E3,75.42E9
13.18E3,74.14E9
13.49E3,72.87E9
13.80E3,71.61E9
14.13E3,70.35E9
14.45E3,69.11E9
14.79E3,67.87E9
15.14E3,66.65E9
15.49E3,65.43E9
15.85E3,64.23E9
16.22E3,63.04E9
16.60E3,61.86E9
16.98E3,60.69E9
17.38E3,59.54E9
17.78E3,58.40E9
18.20E3,57.27E9
18.62E3,56.16E9
19.05E3,55.06E9
19.50E3,53.98E9
19.95E3,52.91E9
20.42E3,51.86E9
20.89E3,50.82E9
21.38E3,49.79E9
21.88E3,48.79E9
22.39E3,47.79E9
22.91E3,46.82E9
23.44E3,45.86E9
23.99E3,44.91E9
24.55E3,43.98E9
25.12E3,43.07E9
25.70E3,42.17E9
26.30E3,41.28E9
26.92E3,40.42E9
27.54E3,39.56E9
28.18E3,38.72E9
28.84E3,37.90E9
29.51E3,37.09E9
30.20E3,36.30E9
30.90E3,35.52E9
31.62E3,34.76E9
32.36E3,34.01E9
33.11E3,33.28E9
33.88E3,32.56E9
34.67E3,31.85E9
35.48E3,31.16E9
36.31E3,30.48E9
37.15E3,29.82E9
38.02E3,29.16E9
38.90E3,28.53E9
39.81E3,27.90E9
40.74E3,27.29E9
41.69E3,26.69E9
42.66E3,26.10E9
43.65E3,25.52E9
44.67E3,24.96E9
45.71E3,24.41E9
46.77E3,23.87E9
47.86E3,23.34E9
48.98E3,22.82E9
50.12E3,22.31E9
51.29E3,21.81E9
52.48E3,21.33E9
53.70E3,20.85E9
54.95E3,20.39E9
56.23E3,19.93E9
57.54E3,19.49E9
58.88E3,19.05E9
60.26E3,18.62E9
61.66E3,18.21E9
63.10E3,17.80E9
64.57E3,17.40E9
66.07E3,17.01E9
67.61E3,16.63E9
69.18E3,16.25E9
70.79E3,15.89E9
72.44E3,15.53E9
74.13E3,15.18E9
75.86E3,14.84E9
77.62E3,14.50E9
79.43E3,14.18E9
81.28E3,13.86E9
83.18E3,13.54E9
85.11E3,13.24E9
87.10E3,12.94E9
89.13E3,12.65E9
91.20E3,12.36E9
93.33E3,12.08E9
95.50E3,11.81E9
97.72E3,11.54E9
100.0E3,11.28E9
102.3E3,11.02E9
104.7E3,10.77E9
107.2E3,10.53E9
109.6E3,10.29E9
112.2E3,10.06E9
114.8E3,9.831E9
117.5E3,9.608E9
120.2E3,9.390E9
123.0E3,9.177E9
125.9E3,8.969E9
128.8E3,8.766E9
131.8E3,8.567E9
134.9E3,8.372E9
138.0E3,8.182E9
141.3E3,7.997E9
144.5E3,7.815E9
147.9E3,7.638E9
151.4E3,7.464E9
154.9E3,7.295E9
158.5E3,7.129E9
162.2E3,6.967E9
166.0E3,6.809E9
169.8E3,6.654E9
173.8E3,6.503E9
177.8E3,6.355E9
182.0E3,6.211E9
186.2E3,6.070E9
190.5E3,5.932E9
